Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2022,ND,COW,all coal products,9.79,24831.18527,0.73,288.99473,474.1,35.4,19.09292669056711,11638.378388209736,29.31679900918609,95,1425.6266712636063,0.013392655367231637
2022,NY,WNT,onshore wind turbine,,4567.508,,15.58434,,,,3412.0005920077206,99.99998264924919,0,,0.0
2022,OH,NG,natural gas,,68864.96911,,524.31167,3075.4,74.5,44.65840963476765,7613.619475563866,44.81442776265499,53,1081.8272477694575,0.041280536912751686
2022,DE,COW,all coal products,7.45,104.74978,2.17,1.84569,5.8,0.2,55.37004469126332,17619.989273485826,19.36437047174769,95,1909.3118859056315,0.029
2022,CO,NG,natural gas,,15445.52673,,142.28214,955.5,27.4,61.86257139059705,9211.86713067182,37.03917948012309,53,1773.9764061772466,0.03487226277372263
2022,MO,NUC,nuclear,,8874.76949,,92.72021,64.6,,7.279062298214124,10447.618961199634,32.65815888454092,0,,0.0
2022,IA,WNT,onshore wind turbine,,45761.36955,,156.1378,,,28.0,3412.000155052177,99.99999545568083,0,,0.0
2022,MT,WNT,onshore wind turbine,,4021.86,,13.72259,,,28.51851851851852,3412.0009149995276,99.99997318290498,0,,0.0
2022,VA,TSN,estimated total solar,,5015.07162,,,,,48.086,,,0,,0.0
2022,NE,NUC,nuclear,,5618.504,,58.69999,37.7,,6.7099711951793575,10447.619152713962,32.65815828588727,0,,0.0
2022,NH,NUC,nuclear,,10921.528,,114.10396,67.1,,6.143828958731781,10447.618684858016,32.6581597483558,0,,0.0
2022,MT,PET,petroleum,,464.87867,,7.47191,41.4,12.1,89.05549484556906,16072.817451486857,21.228387681864476,73,26028.296802690475,0.003421487603305785
2022,MT,COW,all coal products,9.12,11651.07251,0.7,128.26228,269.5,12.6,23.13091775617145,11008.624303892519,30.99388175862771,95,1081.4455054833402,0.021388888888888895
2022,MA,TSN,estimated total solar,,5353.15349,,,,,62.06,,,0,,0.0
2022,WV,TSN,estimated total solar,,33.2145,,,,,48.086,,,0,,0.0
2022,ME,PET,petroleum,,274.26939,0.45,3.71228,68.6,11.6,250.11905265841003,13535.159720156887,25.20842066546704,73,42294.18383145126,0.005913793103448276
2022,MD,NG,natural gas,,13949.64162,,106.62797,833.7,16.4,59.76497624173373,7643.7784499871605,44.63760981986247,53,1175.657443162328,0.05083536585365855
2022,NM,COW,all coal products,20.47,13291.99638,0.79,136.55173,399.8,13.2,30.07825074355008,10273.22955078927,33.21253538754873,95,993.0788139441247,0.030287878787878787
2022,NJ,NG,natural gas,,33394.32334,,269.05927,1813.6,39.8,54.30863148610813,8057.036139364397,42.3480786356404,53,1191.819327937309,0.0455678391959799
2022,CT,PET,petroleum,,314.36881,0.28,4.01405,79.8,20.8,253.84197624439904,12768.601312579323,26.721799173403422,73,66164.32463513159,0.0038365384615384607
2022,LA,COW,all coal products,4.95,8172.86284,0.37,91.93676,244.2,9.3,29.879370886395545,11249.027641824465,30.331510497085173,95,1137.9121590642037,0.026258064516129033
2022,MI,NG,natural gas,,41183.78402,,367.39778,2203.4,57.2,53.50164032838671,8920.933050289439,38.247120349023334,53,1388.8961726348914,0.03852097902097903
2022,FL,PET,petroleum,0.28,1319.16485,4.54,15.5539,198.0,127.4,150.0949634914848,11790.717437627301,28.93801855611775,73,96576.25428694527,0.001554160125588697
2022,FL,COW,all coal products,8.51,15531.57239,2.68,169.69883,608.2,16.5,39.15894570929531,10926.056019238631,31.22810274807433,95,1062.3521936918328,0.03686060606060606
2022,LA,PET,petroleum,0.52,3106.6338,5.67,35.16372,185.7,76.0,59.77531049845656,11318.913738722598,30.144235381239533,73,24463.77812537802,0.002443421052631579
2022,TX,TSN,estimated total solar,,25437.07827,,,,,43.7,,,0,,0.0
2022,NM,WNT,onshore wind turbine,,14434.55068,,49.2507,,,29.27777777777778,3412.000906148053,99.99997344232672,0,,0.0
2022,NM,PET,petroleum,,18.92466,,0.21445,6.8,17.7,359.3195333496084,11331.775577474047,30.1100209466076,73,935287.6088658924,0.000384180790960452
2022,SD,TSN,estimated total solar,,4.34446,,,,,43.7,,,0,,0.0
2022,SD,NG,natural gas,,1424.3383,,15.29937,57.3,5.1,40.22920678324806,10741.387772834587,31.764982999953588,53,3580.610027828361,0.01123529411764706
2022,TX,PET,petroleum,,373.50556,,5.26079,82.4,317.1,220.6125124348885,14084.90411762545,24.224517053902552,73,848983.3457900868,0.00025985493535162407
2022,TX,NG,natural gas,,256140.17982,,2324.03563,11969.3,259.6,46.72949011127933,9073.295847739286,37.60485778549961,53,1013.5075261617736,0.04610670261941448
2022,TX,COW,all coal products,8.42,85336.95279,0.53,926.22913,2128.5,89.3,24.94230143461864,10853.787248289676,31.43603169978901,95,1046.439989716441,0.02383538633818589
2022,WA,TSN,estimated total solar,,476.50139,,,,,28.02125,,,0,,0.0
